domain,holder1,holder2,holder3,holder4
lhistoire.fr,Claude Perdriel,,,
larecherche.fr,Claude Perdriel,,,
nouveau-magazine-litteraire.com,Claude Perdriel,,,
sciencesetavenir.fr,Claude Perdriel,,,
challenges.fr,Claude Perdriel,,,
fip.fr,la République Française,,,
franceculture.fr,la République Française,,,
franceinter.fr,la République Française,,,
francemusique.fr,la République Française,,,
francebleu.fr,la République Française,,,
mouv.fr,la République Française,,,
francetvinfo.fr,la République Française,,,
france.tv,la République Française,,,
tv5monde.com,la République Française,,,
france24.com,la République Française,,,
rfi.fr,la République Française,,,
mc-doualiya.com,la République Française,,,
lcp.fr,la République Française,,,
yahoo.com,Verizon,,,
arte.tv,la République Française,la République Fédérale d'Allemagne,,
theconversation.com,The Conversation Trust,,,
